Category,points,nominees,,,,,,,,
Best Picture,10,Arrival,Fences,Hacksaw Ridge ,Hell or High Water ,Hidden Figures ,La La Land ,Lion ,Manchester by the Sea,Moonlight
Best Director,8,Denis Villeneuve/Arrival,Mel Gibson/Hacksaw Ridge,Damien Chazelle/La La Land,Manchester by the Sea/Kenneth Lonergan,Barry Jenkins/Moonlight,,,,
Lead Actor,8,Casey Affleck/Manchester by the Sea ,Andrew Garfield/Hacksaw Ridge ,Ryan Gosling/La La Land ,Viggo Mortensen/Captain Fantastic ,Denzel Washington/Fences,,,,
Lead Actress,8,Isabelle Huppert/Elle,Ruth Negga/Loving,Natalie Portman/Jackie,Emma Stone/La La Land,Meryl Streep/Florence Foster Jenkins,,,,
Supporting Actor,6,Mahershala Ali/Moonlight ,Jeff Bridges/Hell or High Water,"Lucas Hedges,/Manchester by the Sea",Dev Patel/Lion,Michael Shannon/Nocturnal Animals,,,,
Supporting Actress,6,Viola Davis/Fences,Naomie Harris/Moonlight,Nicole Kidman/Lion,Octavia Spencer/Hidden Figures,Michelle Williams/Manchester by the Sea,,,,
Original Screenplay,4,Hell or High Water,La La Land,The Lobster,Manchester by the Sea,20th Century Women,,,,
Adapted Screenplay,4,Arrival,Fences,Hidden Figures,Lion,Moonlight,,,,
Animated Feature,4,Kubo and the Two Strings,Moana,My Life as a Zucchini,The Red Turtle,Zootopia,,,,
Foreign Language Film,4,Land of Mine (Denmark),A Man Called Ove (Sweden),The Salesman (Iran),Tanna (Australia),Toni Erdmann (Germany),,,,
Documentary,4,Fire at Sea,I Am Not Your Negro,"Life, Animated",O.J.: Made in America,13th,,,,
Live Action Short,2,Ennemis Intérieurs,La Femme et le TGV,Silent Nights,Sing,Timecode,,,,
Documentary Short,2,Extremis,4.1 Miles,Joe’s Violin,Watani: My Homeland,The White Helmets,,,,
Animated Short,2,Blind Vaysha,Borrowed Time,Pear Cider and Cigarettes,Pearl,Piper,,,,
Cinematography,5,Arrival ,La La Land,Lion,Moonlight,Silence,,,,
Film Editing,2,Arrival,Hacksaw Ridge,Hell or High Water,La La Land,Moonlight,,,,
Production Design,3,Arrival,Fantastic Beasts and Where to Find Them,"Hail, Caesar!",La La Land,Passengers,,,,
Costume Design,3,Allied,Fantastic Beasts and Where to Find Them,Florence Foster Jenkins,Jackie,La La Land,,,,
Original Score,4,Jackie,La La Land,Lion,Moonlight,Passengers,,,,
Original Song,4,“Audition (The Fools Who Dream)” by Justin Hurwitz/La La Land,"""Can't Stop the Feeling"" by Justin Timberlake/Trolls",“City of Stars” by Justin Hurwitz/La La Land,"""The Empty Chair"" by J. Ralph and Sting/Jim: The James Foley Story","""How Far I'll Go"" by Lin-Manuel Miranda/Moana",,,,
Visual Effects,3,Deepwater Horizon,Doctor Strange,The Jungle Book,Kubo and the Two Strings,Rogue One: A Star Wars Story,,,,
Makeup and Hairstyling,2,A Man Called Ove,Star Trek Beyond,Suicide Squad,,,,,,
Sound Mixing,1,Arrival,Hacksaw Ridge,La La Land,Rogue One: A Star Wars Story,13 Hours: The Secret Soldiers of Benghazi,,,,
Sound Editing,1,Arrival,Deepwater Horizon,Hacksaw Ridge,La La Land,Sully,,,,
Tiebreaker,1,How many time's will the name Trump be mentioned from the stage. Must say Trump. Closest without going over wins.,,,,,,,,
